,conversation_text,sentiment
0,companyx এজেন্ট থেক রং নাম্বারে টাকা গাল ফেরত নেওয় কোন উপায় আছ বিদ্র জিডি কর হয়ছেয কাছ টাকা গেছ তার ফোন বন্দ্ব,neutral
1,companyx গ্রাহক জন্য খুব দুঃখ জনক এক খবর…… মোবাইল নিষিদ্ধ মোবাইল নিষিদ্ধ আপনি যদি companyx গ্রাহক হয় থাক অবশ্য সর্তকত সাথে থাকুন কারন যে কোন সময় companyxে ক্যাশআউট কর বন্ধ হয় যেত পারে তাই নিজ কাষ্ট টাকা রাখুন নিরাপদে ,negative
2,companyx গ্রাহক জন্য খুব দুঃখ জনক এক খবর…… মোবাইল নিষিদ্ধ মোবাইল নিষিদ্ধ আপনি যদি companyx গ্রাহক হয় থাক অবশ্য সর্তকত সাথে থাকুন কারন যে কোন সময় companyxে ক্যাশআউট কর বন্ধ হয় যেত পারে তাই নিজ কাষ্ট টাকা রাখুন নিরাপদে,negative
3,banky ব্যাংক যখন ঘোষনা দিয় যে কার্ড দিয়ে ক্যাশ উত্তোলন বন্ধ তেমনি ভাবে আব যে কোন সময় companyx ক্যাশআউট বন্ধ করে দিত পারে কারন companyx মূল মালিক banky ব্যাংক ,negative
4,banky ব্যাংক যখন ঘোষনা দিয় যে কার্ড দিয়ে ক্যাশ উত্তোলন বন্ধ তেমনি ভাবে আব যে কোন সময় companyx ক্যাশআউট বন্ধ করে দিত পারে কারন companyx মূল মালিক banky ব্যাংক ,negative
5,একাউন্ট রক্ষার্থে ফেস রিকগনিশন এবং ফিঙ্গ প্রিন্ট নিত হয় তাও এক মোবাইল ব্যাংকিং যা কখন শুনি নাই অথচ সংশিষ্ট companyx নতুন ফিচ গ্রাহক থেক ফেস রিকগনিশন এবং ফিঙ্গ প্রিন্ট নেয় যার মধ্যে আম দ্বিধা কাজ কর কারণ যার পরিচয়পত্র নিয়ে প্রতারণা কর গ্রাহক টাকা সিকিউরি দিত পায় না তার এই তথ্য নেওয়া কত যুক্তিগত যদি এই ডাটা companyx প্রতারক হাত পরবে এর তো যে কোন ধরন অবৈধ কাজ কর পারবে তখন এর দায়ভ কে নিবে,negative
6,যে কোন সময় বন্ধ হত পারে companyx এর ক্যাশ আউট,negative
7,যে কোন সময় বন্ধ হত পারে companyx এর ক্যাশ আউট,negative
8,বিজনেস স্ট্যান্ডার্ড খবরে দেখ banky ব্যাংক দেশের বাইরে কার্ড দিয়ে ক্যাশ ওঠানো বন্ধ করে দিয় হঠাৎ এই ঘোষণা আস কারণ কী যতদূর জানি অন্য কোন ব্যাঙ্ এমন কোন ঘোষণা আসে নি শুধু banky থাক এস banky এতদিন ধরে ভাব এসে যথেষ্ট ট্রাস্টেড এক ব্যাংক তবে এর সাথে থাকা companyx নিয়ে অনেক কথা শোনা যায় companyx মাধ্যমে হুন্ডি চক্র কথা প্রায় খবরে দেখি আম ধারণা companyx কারণে banky ফান্ড ক্রাইস শুরু হয় যার কারণে এমন সিদ্ধান্ত নিত বাধ্য হয় banky এছাড়া ডল ক্রাইসিস সময় companyx বড় বড় বিদেশি স্পন্সরশিপ ঘটনা দেখ এই বছর আর্জেন্টিনা দল স্পনসর ভারতীয় শিল্পীর কনসার্ট স্পনসর এইসব কারণে মনে হচ্ banky এখন চাপে আছে,negative
9,আচ্ছা companyx সিম অন্য মোবাইলে রাখ এ্যাপ্স মাধ্যমে লেনদেন কর কোন অপশন আছ,neutral
10,বিজনেস স্ট্যান্ডার্ড খবরে দেখ banky ব্যাংক দেশের বাইরে কার্ড দিয়ে ক্যাশ ওঠানো বন্ধ করে দিয় হঠাৎ এই ঘোষণা আস কারণ কী যতদূর জানি অন্য কোন ব্যাঙ্ এমন কোন ঘোষণা আসে নি শুধু banky থাক এস banky এতদিন ধরে ভাব এসে যথেষ্ট ট্রাস্টেড এক ব্যাংক তবে এর সাথে থাকা companyx নিয়ে অনেক কথা শোনা যায় companyx মাধ্যমে হুন্ডি চক্র কথা প্রায় খবরে দেখি আম ধারণা companyx কারণে banky ফান্ড ক্রাইস শুরু হয় যার কারণে এমন সিদ্ধান্ত নিত বাধ্য হয় banky এছাড়া ডল ক্রাইসিস সময় companyx বড় বড় বিদেশি স্পন্সরশিপ ঘটনা দেখ এই বছর আর্জেন্টিনা দল স্পনসর ভারতীয় শিল্পীর কনসার্ট স্পনসর এইসব কারণে মনে হচ্ banky এখন চাপে আছে,negative
11,বিজনেস স্ট্যান্ডার্ড খবরে দেখ banky ব্যাংক দেশের বাইরে কার্ড দিয়ে ক্যাশ ওঠানো বন্ধ করে দিয় হঠাৎ এই ঘোষণা আস কারণ কী যতদূর জানি অন্য কোন ব্যাঙ্ এমন কোন ঘোষণা আসে নি শুধু banky থাক এস banky এতদিন ধরে ভাব এসে যথেষ্ট ট্রাস্টেড এক ব্যাংক তবে এর সাথে থাকা companyx নিয়ে অনেক কথা শোনা যায় companyx মাধ্যমে হুন্ডি চক্র কথা প্রায় খবরে দেখি আম ধারণা companyx কারণে banky ফান্ড ক্রাইস শুরু হয় যার কারণে এমন সিদ্ধান্ত নিত বাধ্য হয় banky এছাড়া ডল ক্রাইসিস সময় companyx বড় বড় বিদেশি স্পন্সরশিপ ঘটনা দেখ এই বছর আর্জেন্টিনা দল স্পনসর ভারতীয় শিল্পীর কনসার্ট স্পনসর এইসব কারণে মনে হচ্ banky এখন চাপে আছে,negative
12,The Business Standard এ এক নিউজ দেখ banky ব্যাংক সকল কার্ড বিদেশ লেনদেন কর সুযোগ বাতিল কর হয় এটা কি কারনে হঠাৎ করে হত পারে banky যে অন্য এক প্রতিষ্ঠান companyx আছ সেটি ও কি এমন কোন নিষেধাজ্ঞা আস পারে আমা সাধারণ গ্রাহক কি কর উচিৎ যেহেতু ২ টি প্রতিষ্ঠান স্বত্বাধিক এক,negative
13,The Business Standard এ এক নিউজ দেখ banky ব্যাংক সকল কার্ড বিদেশ লেনদেন কর সুযোগ বাতিল কর হয় এটা কি কারনে হঠাৎ করে হত পারে banky যে অন্য এক প্রতিষ্ঠান companyx আছ সেটি ও কি এমন কোন নিষেধাজ্ঞা আস পারে আমা সাধারণ গ্রাহক কি কর উচিৎ যেহেতু ২ টি প্রতিষ্ঠান স্বত্বাধিক এক,negative
14,The Business Standard এ এক নিউজ দেখ banky ব্যাংক সকল কার্ড বিদেশ লেনদেন কর সুযোগ বাতিল কর হয় এটা কি কারনে হঠাৎ করে হত পারে banky যে অন্য এক প্রতিষ্ঠান companyx আছ সেটি ও কি এমন কোন নিষেধাজ্ঞা আস পারে আমা সাধারণ গ্রাহক কি কর উচিৎ যেহেতু ২ টি প্রতিষ্ঠান স্বত্বাধিক এক,negative
15,companyx মূল কোম্পানি banky থেক নাকি বিদেশ থেক এখন আর টাকা তুলা যাবে না এর কাহিনী টা কি কেউ কি বল পারেন companyx মাধ্যমে হুন্ডি হয় অনেক এই সাথে কি কোন সম্পর্ক আছ companyxে কি কোন নিষেধাজ্ঞা আস পারে জানালে উপকৃত হতাম,negative
16,আমি companyx থেক লোন নিত চাচ্ কিন্তু কিভাবে পাবো আম companyxে প্রতি মাসে অনেক টাকা লেনদেন হয় কিন্তু এখন টাকা নাই হেল্প করুন কিভাবে লোন পেত পারি,negative
17,আম companyx বিনিময় একাউন্ট পিন ভুলে গেছি বিনীতভাবে পিন রিসেট কর কোন পদ্ধতি আছ প্লিজ এক সমাধান দিয় যার জান,neutral
18,companyx থেক কি ২ বার এর বেশি লোন নেওয়া যায় না আমি ২ বার সময় মত লোন পরিশোধ করে বাট এখন লোন দেখ না প্লিজ জানা ভালবাসা️,negative
19,companyx Personal loan ta ki babe pabo ভাব দেখা হচ্ছেভেবে দেখা হচ্ছেভেবে দেখা হচ্ছে,neutral
20,Ami companyx theke 10 hazar er ekta loan niyechi 1st kisti diyechi ekhn baki 2 ta kisti dile ki sthe sthe porer loan ta nite parbo 10 hazar er por koto loan dey,neutral
21,companyxে লোন কিভাবে পাবো আম পারসোনাল companyx থেক তো প্রতি মাস এ পেমেন্ট হয় অনেক টাকা,neutral
22,কিছুক্ষণ আগে The Business Standard এ এক নিউজ দেখ banky ব্যাংক সকল কার্ড বিদেশ লেনদেন কর সুযোগ বাতিল কর হয় এটা কি কারনে হঠাৎ করে হত পারে banky যে অন্য এক প্রতিষ্ঠান companyx আছ সেটি ও কি এমন কোন নিষেধাজ্ঞা আস পারে আমা সাধারণ গ্রাহক কি কর উচিৎ যেহেতু ২ টি প্রতিষ্ঠান স্বত্বাধিক এক,negative
23,কিছুক্ষণ আগে The Business Standard এ এক নিউজ দেখ banky ব্যাংক সকল কার্ড বিদেশ লেনদেন কর সুযোগ বাতিল কর হয় এটা কি কারনে হঠাৎ করে হত পারে banky যে অন্য এক প্রতিষ্ঠান companyx আছ সেটি ও কি এমন কোন নিষেধাজ্ঞা আস পারে আমা সাধারণ গ্রাহক কি কর উচিৎ যেহেতু ২ টি প্রতিষ্ঠান স্বত্বাধিক এক,negative
24,কিছুক্ষণ আগে The Business Standard এ এক নিউজ দেখ banky ব্যাংক সকল কার্ড বিদেশ লেনদেন কর সুযোগ বাতিল কর হয় এটা কি কারনে হঠাৎ করে হত পারে banky যে অন্য এক প্রতিষ্ঠান companyx আছ সেটি ও কি এমন কোন নিষেধাজ্ঞা আস পারে আমা সাধারণ গ্রাহক কি কর উচিৎ যেহেতু ২ টি প্রতিষ্ঠান স্বত্বাধিক এক,negative
25,কিছুক্ষণ আগে The Business Standard এ এক নিউজ দেখ banky ব্যাংক সকল কার্ড বিদেশ লেনদেন কর সুযোগ বাতিল কর হয় এটা কি কারনে হঠাৎ করে হত পারে banky যে অন্য এক প্রতিষ্ঠান companyx আছ সেটি ও কি এমন কোন নিষেধাজ্ঞা আস পারে আমা সাধারণ গ্রাহক কি কর উচিৎ যেহেতু ২ টি প্রতিষ্ঠান স্বত্বাধিক এক,negative
26,আসসালামু আলাইকুম নরমাল সিম থেক ইসিমে সিফট হলে কী companyx একাউন্টে কোন সমস্যা হয় আইফোন ফ্যাক্ট,neutral
27,আমি কিভাবে companyxে লোন নিত পারি,neutral
28,আম অজান্ companyx একাউন্ট থেক companyy এপ্স e টাকা পেমেন্ট হল কোন নাম্বারে পেমেন্ট হয় তাও জানিনা বন্ধ কর উপায় কি কারো জানা আছ,negative
29,প্রথমব companyxে ১০ হাজা টাকা লোন পেয়েছি এক কিস্তি দিত দেরি হয়েছিলো তাই এখন আর লোন দিচ্ছেনা আর কি লোন দিবেনা বা কয়মাস পর আব লোন দিবে জান কেউ এরকম কি কারো হই,negative
30,আমি অত্যন্ত আনন্দিত যে companyx পিআরএ একাউন্টে BPDB প্রিপেইড ও পোস্ট পেইড বিদ্যুৎ বিল দেওয়া যায় আমি জানতাম না এই feature টা সম্পর্ কারন আম ব্যবসা মুলত বিল উপর পল্লীবিদ্যুৎ এর ১৭ সমিতির পোস্টপেইড বিল দেয় ক্ষেত্রে কোন লিমিট নেইএছাড়া বাকি পল্লীবিদ্যুৎ সমিতির পোস্টপেইড বিল companyx কর ক্ষেত্রে মাসে সর্বোচ্চ ৫০ বিল পরিশোধ কর পার দারুন লাগ বিষয় টি,positive
31,এক বছর বা তার বেশি সময় আমি যদি companyx একাউন্টে কোন ক্যাশ ইন অথবা ক্যাশ আউট না করি তাহলে কি companyx অ্যাকাউন্ট বন্ধ হয়ে যেত পারে আম companyx একাউন্টে মাত্র নয়শো টাকা আছ আমি গত কয়েক মাস শুধু লগইন করে তাছাড়া কিছু করিনি এখন যদি আমি companyxে ক্যাশ ইন না করি তাহলে কি ভবিষ্য কোন সমস্যা হওয় সম্ভাবনা আছ,neutral
32,এক বছর বা তার বেশি সময় আমি যদি companyx একাউন্টে কোন ক্যাশ ইন অথবা ক্যাশ আউট না করি তাহলে কি companyx অ্যাকাউন্ট বন্ধ হয়ে যেত পারে আম companyx একাউন্টে মাত্র নয়শো টাকা আছ আমি গত কয়েক মাস শুধু লগইন করে তাছাড়া কিছু করিনি এখন যদি আমি companyxে ক্যাশ ইন না করি তাহলে কি ভবিষ্য কোন সমস্যা হওয় সম্ভাবনা আছ,neutral
33,মালয়েশিয়া থেক কি কোন companyx একাউন্ট খোলা যাবে,neutral
34,আসসালামু আলাইকুম ভাই ও বুনে হেল্প পোস্ট আমি ২ বছর আগে এক companyx আইডি খুলে এক সিম দিয়ে খুল কয়েকদিন পরে মোবাইল হারা ফেলসি পরে ফোন কিনে নতুন এক সিম কিনে সেই companyx কর সিম তুলি নাই এখন প্রয়োজন পড় companyx আর companyx কর পারিনা বিঃদ্রঃ সেই পুরান সিম নাম্ব ও জানানন সিম না এখন করনি কি একটুতা জানা প্লিজ,neutral
35,companyx থেক যদি bankx ব্যাং টাকা ট্রান্সফ করি তাহলে কোন চার্জ কাটবে আর চার্জ কাটলে ১হাজারে কত টাকা কাটবে হাসি মুখ,neutral
36,companyx থেক bankz ব্যাংক ট্রান্সফার সময় ১টা সংখ্যা ভুল জন্য অন্য এক একাউন্টে ৪০০০০ টাকা চলে গিয় এবং সেটি এক সচল একাউন্ট কোন ভাবে কি টাকা টা ফেরত পাবো কোন তথ্য জানা থাকলে দয়া করে পরামর্শ দিব অগ্রিম ধন্যবাদ,neutral
37,আসসালামু আলাইকুম আম একটু হেল্প দরক আম ফোনে কয়দিন পর পর এইরকম companyx থেক মেসেজ আস ক্যাশ ইন ক্যাশ আউট এর কিন্তু কোন লেনদেন আমি করি নি মানে আমি টাকা উত্তোলন করিনি এবং আম ফোনে কোন টাকা আসেনি তো লেনদেন ছার companyx থেক কেন এইরকম ক্যাশ ইন ক্যাশ আউট মেসেজ আসে,negative
38,আমি এই মাস ৪ তারিখে আম companyx একাউন্ট থেক bankz ব্যাং ২০০০ টাকা ট্রান্সফ করেছি কিন্তু টাকাটা আম একাউন্টে জমা হয়নি আব একাউন্ট থেক দুই হাজা টাকা কাট নিয় companyx স্টেটমেন্টে টাকাটা দেখ না আজ ৫ দিন হয়ে গেল এই টাকা কোন হদ পেল না আমি কাস্টম কেয়ারে কল দিয়েছি কিন্তু ওরা বলল দুই দিন মধ্যে ঠিক হয়ে যাবে কিন্তু এখনো কোনো ঠিক হচ্ না আমি কি আসলে এই টাকাটা ফেরত পাব,negative
39,বাসা থেক অনেক্ব দূরে থাকা পরে খুব সহজে বাসা মানুষ কাছ টাকা পাঠা পারি companyx কারনে আমা এলাকায় এখনো companyx ছাড়া আর কোন এজেন্ট বসে নাই,positive
40,যে কোন জায়গায় গিয়ে যদি ক্যাশ ছাড়া পেমেন্ট কর চিন্তা করি সবচ কাজে আসে companyx,positive
41,companyxে লোন অপশন চালু হই না কেনো,neutral
42,লাষ্ট তিন মাসে প্রায় 2500000 টাকা লেনদেন করে আজ 091223 হঠাৎ এমন সারপ্রাইজ পায় যাবো ভাবনায় ছিলনা তবে এটা আমি এখনি নিব না যখন জরুরি টাকা প্রয়োজন হবে তখন লোন টা নিব এখন হাত টাকা রয় তাই এখন নিবনা প্রয়োজন এ কাজে আসবে নিয়মিত লেনদেন কর থাকুন দেখ companyx একদিন আপনা সারপ্রাইজ দিবে দেখ এমন সময় লোন দিবে যখন আপন অনেক উপক হবে companyx Limited থেক এমন সারপ্রাইজ পায় সত্যি আমি আবেগ আপ্লূত ধন্যবাদ companyx Limited,positive
43,"আম মা সাধারণত একজন companyx এজেন্ট মাধ্যমে টাকা পাঠান আম নম্বরে টাকা পাঠানোর পর আম থেক ফোনে শিওর হয় নেন যে টাকা এস কিনা এখন সমস্যা হলো গত পরশু টাকা দিয় ১০০০ আম আজ এক যায়গায় যাওয় কথে ছিল গিয়ে ক্যাশ আউট কর গিয়ে দেখি companyxে ৯ রয় তারপর companyx app এ ঢুক স্টেটমেন্টে দেখি এই মাসে আম নম্বরে ১০০০ কোনোক্রমে ঢোকেনি আম্মু যানানোর পর আম্মু সেই এজেন্ট কে ফোন দেয় তিনি বল ""এতদিন ম্যাসেজ কি থাকে"" এখন বুঝ পারছি না টাকাটা কুভাবে উঠাবো উনি কিন্তু companyx appp Online এসব কিছু নিয়ে used to আমা সাথে আংকেলের সম্পর্ক কিভাবে কি কর যেত পারে টাকাটা কিভাবে উঠানো যেত পারে",neutral
44,আমি এক বিষয় নিয়ে অনেক দিন থেক কনফিউসড মনে কর কেউ শত্রুতা করে আম companyx একাউন্ট এ কিছু টাকা সেটা ৫০০ টাকা ও হত পারে পাঠা তারপর companyx কল সেন্ এ ফোন করে আম একাউন্ট ব্লক্স করায় দিলো এন্ড আমি companyx কে বল সেই টাকা আমি ফিরত দিল কিন্তু যে পাঠ সে অভিযোগ তুলে নিলো না সেই ক্ষেত্রে আম একাউন্ট একটিভ কর কী আর কোনো উপায় থাক না কারণ আমি শুনে কমপ্লেইন না তুলে নিলে companyx একাউন্ট একটিভ করে দেই না সেই ক্ষেত্রে আমি যদি টাকা পাঠা ও থাকি এটা সমাধান কেউ জান বিষয় টা যদি কেউ ক্লিয় করে দিত উপকৃত হবো,neutral
45,ফোন কিন companyxে পে করায় ক্যাশব্যাক পাই যাক আম রিকশা ভাড়া উঠে গেছ D,positive
46,নিজ আইডি কার্ড দিয়ে ভেরিফাইড কর সিম কার্ডে companyx একাউন্ট খুলেছি লেনদেন করে ভালো তবে কিছুদিন আগে বেশ কয়েকমাস লেনদেন বন্ধ ছিলো তাই একাউন্ট অফ করে দিছ কাস্টম কেয়ারে ফোন করলে জানালো নিজ আইডি কার্ড এর ফটোকপি আর দুই কপি ছবি নিয়ে নিকটস্থ companyx সেন্টারে যোগাযোগ কর এখন জান চাচ্ এইসমস্ত হয়রানি ছাড়া শুধু আইডি কার্ড মাধ্যমে companyx একাউন্ট টি ফিরে পাওয়া সম্ভব কিনা,neutral
47,খুব দরকার টাইমে companyx থেক সহজে লোন পেলাম,positive
48,companyx রেফ প্রোগ্রামে ৪ জন টপ রেফ স্মার্টফোন হিসেব কোন সেট দিত পারে কে কে ট্রা করছ জেত জানায়,neutral
49,আম এক companyx একাউন্টে কিছু টাকা ছিল হঠাৎ করে companyx থেক ব্লক করে দিয় কাস্টম কেয়ারে ফোন দিছি বল অফিসে যোগাযোগ কর কি কি কাগজ লাগব কেউ জানলে বলবেনরংপুরে companyx কাস্টম কেয় কোন খানে জানা প্লিজ অনেক ধন্যবাদঅনেক ধন্যবাদ Admin approved plzঅনেক ধন্যবাদঅনেক ধন্যবাদ,neutral
